,stop_id,alightings,boardings,location
216,268,13.3,9.4,"{'type': 'Point', 'coordinates': [-87.73749989, 41.8659273]}"
217,270,38.1,84.4,"{'type': 'Point', 'coordinates': [-87.73259722, 41.86599795]}"
218,272,66.5,87.1,"{'type': 'Point', 'coordinates': [-87.727721, 41.866075]}"
219,274,45.9,118.0,"{'type': 'Point', 'coordinates': [-87.72282126, 41.86611509]}"
220,275,90.4,204.2,"{'type': 'Point', 'coordinates': [-87.72026246, 41.86614847]}"
221,277,53.0,143.1,"{'type': 'Point', 'coordinates': [-87.71794192, 41.86617777]}"
222,278,102.6,205.4,"{'type': 'Point', 'coordinates': [-87.71563462, 41.86620404]}"
223,279,100.7,80.2,"{'type': 'Point', 'coordinates': [-87.713081, 41.866258]}"
224,283,114.5,50.1,"{'type': 'Point', 'coordinates': [-87.703247, 41.86634562]}"
225,284,77.3,89.4,"{'type': 'Point', 'coordinates': [-87.7009535, 41.8663703]}"
226,285,148.5,57.5,"{'type': 'Point', 'coordinates': [-87.698427, 41.866419]}"
227,287,19.3,36.4,"{'type': 'Point', 'coordinates': [-87.693527, 41.866475]}"
228,288,4.2,12.4,"{'type': 'Point', 'coordinates': [-87.692302, 41.866485]}"
229,296,1.9,8.2,"{'type': 'Point', 'coordinates': [-87.6735674, 41.86662475]}"
230,297,44.7,134.2,"{'type': 'Point', 'coordinates': [-87.67146821, 41.86664343]}"
231,298,192.7,150.8,"{'type': 'Point', 'coordinates': [-87.66900774, 41.86669057]}"
232,300,5.9,5.3,"{'type': 'Point', 'coordinates': [-87.66409989, 41.86676743]}"
233,302,94.9,68.6,"{'type': 'Point', 'coordinates': [-87.65925658, 41.86684613]}"
234,303,186.6,299.4,"{'type': 'Point', 'coordinates': [-87.65681615, 41.86688693]}"
235,305,41.4,108.7,"{'type': 'Point', 'coordinates': [-87.65360529, 41.86693795]}"
236,306,71.5,94.0,"{'type': 'Point', 'coordinates': [-87.65122372, 41.86702954]}"
237,307,64.2,27.2,"{'type': 'Point', 'coordinates': [-87.64940554, 41.86700611]}"
238,310,219.8,293.5,"{'type': 'Point', 'coordinates': [-87.64227064, 41.86711861]}"
239,312,175.8,610.8,"{'type': 'Point', 'coordinates': [-87.63882598, 41.86713891]}"
240,313,15.6,9.3,"{'type': 'Point', 'coordinates': [-87.63557243, 41.86718878]}"
241,315,388.9,48.5,"{'type': 'Point', 'coordinates': [-87.63060611, 41.86723861]}"
242,316,2370.9,322.2,"{'type': 'Point', 'coordinates': [-87.62711056, 41.86728699]}"
243,318,493.0,27.9,"{'type': 'Point', 'coordinates': [-87.624345, 41.867333]}"
244,326,39.9,8.9,"{'type': 'Point', 'coordinates': [-87.6355436, 41.86741626]}"
245,327,775.8,340.0,"{'type': 'Point', 'coordinates': [-87.63905542, 41.86740019]}"
246,328,122.8,97.7,"{'type': 'Point', 'coordinates': [-87.64057609, 41.86735198]}"
247,329,327.3,234.2,"{'type': 'Point', 'coordinates': [-87.64204071, 41.86732793]}"
248,331,499.5,259.0,"{'type': 'Point', 'coordinates': [-87.64654307, 41.86727379]}"
249,332,38.4,47.1,"{'type': 'Point', 'coordinates': [-87.64943144, 41.86721921]}"
250,333,129.6,81.9,"{'type': 'Point', 'coordinates': [-87.65089349, 41.86718872]}"
251,334,151.4,78.2,"{'type': 'Point', 'coordinates': [-87.65307965, 41.8671672]}"
252,335,17.6,12.3,"{'type': 'Point', 'coordinates': [-87.65499111, 41.86711341]}"
253,336,285.4,188.8,"{'type': 'Point', 'coordinates': [-87.65651505, 41.86710533]}"
254,337,123.1,100.1,"{'type': 'Point', 'coordinates': [-87.65903469, 41.86706609]}"
255,340,332.3,360.3,"{'type': 'Point', 'coordinates': [-87.66619588, 41.86695091]}"
256,341,163.5,163.5,"{'type': 'Point', 'coordinates': [-87.66879274, 41.86702876]}"
257,342,180.5,66.7,"{'type': 'Point', 'coordinates': [-87.67112322, 41.86700369]}"
258,343,18.8,2.4,"{'type': 'Point', 'coordinates': [-87.67353822, 41.86695936]}"
259,344,213.6,71.0,"{'type': 'Point', 'coordinates': [-87.67595278, 41.86693534]}"
260,348,266.7,361.8,"{'type': 'Point', 'coordinates': [-87.68585449, 41.86671595]}"
261,349,11.6,19.2,"{'type': 'Point', 'coordinates': [-87.68877572, 41.86668409]}"
262,350,16.7,3.9,"{'type': 'Point', 'coordinates': [-87.692167, 41.86659701]}"
263,351,76.3,17.9,"{'type': 'Point', 'coordinates': [-87.6933021, 41.86663483]}"
264,353,80.5,58.6,"{'type': 'Point', 'coordinates': [-87.69825112, 41.86656508]}"
265,354,122.5,105.2,"{'type': 'Point', 'coordinates': [-87.70064598, 41.86653975]}"
266,355,51.7,84.8,"{'type': 'Point', 'coordinates': [-87.70314478, 41.86651191]}"
267,356,364.9,348.6,"{'type': 'Point', 'coordinates': [-87.70540269, 41.86650058]}"
268,357,71.6,53.5,"{'type': 'Point', 'coordinates': [-87.70792594, 41.86644971]}"
269,358,396.5,301.3,"{'type': 'Point', 'coordinates': [-87.71026976, 41.86641794]}"
270,359,111.8,70.9,"{'type': 'Point', 'coordinates': [-87.71287363, 41.86640459]}"
271,361,108.4,25.4,"{'type': 'Point', 'coordinates': [-87.71776518, 41.86634534]}"
272,362,215.5,99.4,"{'type': 'Point', 'coordinates': [-87.71938526, 41.86632553]}"
273,364,208.3,42.5,"{'type': 'Point', 'coordinates': [-87.72265925, 41.86628473]}"
274,365,558.3,189.7,"{'type': 'Point', 'coordinates': [-87.72504075, 41.86625401]}"
275,366,115.5,40.0,"{'type': 'Point', 'coordinates': [-87.72754305, 41.86620917]}"
276,367,122.0,45.2,"{'type': 'Point', 'coordinates': [-87.72995235, 41.86618436]}"
277,368,102.7,29.6,"{'type': 'Point', 'coordinates': [-87.73235721, 41.86612304]}"
278,369,156.5,49.3,"{'type': 'Point', 'coordinates': [-87.73479765, 41.86610406]}"
279,370,11.9,5.9,"{'type': 'Point', 'coordinates': [-87.73720243, 41.86606861]}"
280,373,10.4,1.1,"{'type': 'Point', 'coordinates': [-87.7422535, 41.86601816]}"
281,375,78.8,38.5,"{'type': 'Point', 'coordinates': [-87.74702963, 41.86593304]}"
282,376,45.7,6.7,"{'type': 'Point', 'coordinates': [-87.74946275, 41.86590245]}"
283,377,24.7,4.0,"{'type': 'Point', 'coordinates': [-87.75203042, 41.86584906]}"
284,379,8.2,1.3,"{'type': 'Point', 'coordinates': [-87.7570127, 41.86581474]}"
285,380,12.9,2.2,"{'type': 'Point', 'coordinates': [-87.75926107, 41.86576771]}"
286,381,4.4,0.2,"{'type': 'Point', 'coordinates': [-87.7620988, 41.86571503]}"
287,382,240.2,39.5,"{'type': 'Point', 'coordinates': [-87.76416931, 41.86566632]}"
288,386,156.6,619.2,"{'type': 'Point', 'coordinates': [-87.774043, 41.880313]}"
289,388,5.1,159.2,"{'type': 'Point', 'coordinates': [-87.7714723, 41.88000915]}"
290,389,14.7,127.8,"{'type': 'Point', 'coordinates': [-87.76992191, 41.88008776]}"
291,390,14.4,70.9,"{'type': 'Point', 'coordinates': [-87.76821491, 41.88010476]}"
292,391,39.2,73.4,"{'type': 'Point', 'coordinates': [-87.76661691, 41.88014676]}"
293,393,15.8,81.7,"{'type': 'Point', 'coordinates': [-87.7632177, 41.88018349]}"
294,394,51.7,201.0,"{'type': 'Point', 'coordinates': [-87.76191891, 41.88020276]}"
295,395,31.5,126.6,"{'type': 'Point', 'coordinates': [-87.75996715, 41.88019981]}"
296,396,65.9,136.6,"{'type': 'Point', 'coordinates': [-87.75778965, 41.88025187]}"
297,397,228.5,522.6,"{'type': 'Point', 'coordinates': [-87.75526, 41.88027]}"
298,402,53.0,72.7,"{'type': 'Point', 'coordinates': [-87.742998, 41.880443]}"
299,403,47.4,52.4,"{'type': 'Point', 'coordinates': [-87.740705, 41.880475]}"
